id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,category
63a9840828536161,"Butthurt sandpeople, please don't censor Jewish articles.",1,0,0,0,0,0,toxic
abb65afd505f5982,TIPTOETY’S ANUS IS STRETCHED BY GRAWP’S MASSIVE COCK,1,1,0,0,0,0,toxic
06087e2338f9b86c,"""

 Some baklava for you! 

  Fuck . =)   """,1,1,1,0,0,0,toxic
d04629f08a0e529c,""":::??? In what way is saying """"its useful"""" an NPOV issue?? If someone uses this for something, then its useful.  In my case, I am reading an article on Markov logic networks, wherein linguistic reification is one of the early steps, followed by conversion to a lambda calculus form, and then many other steps. In this calculation, reification is a crucial step.  The """"natural stupidity"""" article cited probably just says that using reified forms (aka QLF's or quasi-logical forms) in certain ways is stupid; it cannot claim that QLF's in and of themsels are useless.   

""",1,0,0,0,0,0,toxic
246a1032cd3c5b06,Grow up you biased child.,1,0,0,0,0,0,toxic
03b209cb784d7a36,"""

No!  This is a GROUP EFFORT!  Wikipedia is a collaborative COMMUNITY and there are no school essays here.  The article needs to be more professional and adopt a better title besides the references.  This is all that needs to be done, so get off your high horse and accomplish what you want to see done.  If you have these goals, then put yourself to the test of solving this problem.  That's what I do whenever something perturbs me.  You're just looking for a fight about something you admittedly care nothing about.  How about I come by your house and criticise your gardens?  """"Why?"""" You say.  """"Because they are too fucking ugly and I don't like the way they  don't blend in with the neighbours' yards.  So tacky, but I'm only passing by and I've never been down this road before.""""   15:24, 25 Feb 2005 (UTC)""",1,0,1,0,0,0,toxic
a37d83646c34f883,"""Nobody's could be called homophobic, even employing words such as """"sodomite"""", """"faggot"""" or """"sexual deviant"""".""",1,0,1,0,0,0,toxic
ba7b10573ecb2d4e,Youngamerican is a chicken shit cock sucking bastard and his mother is a slutty whore!,1,0,0,0,0,0,toxic
7f4b889aedb4475a,"MY FARTS DONT SMELL

ou",1,0,0,0,0,0,toxic
0c31b95015167c1d,"I refer to people's constantly taking the words of Jimbo as policy, the idea of removing any userbox with a political point of view is his point of view.  That's at the core of this problem, you did not notice that an admin skipped over the tfd process and speedied something when there is no rule explicitly against having an opinion in a userbox?  Rather, there is Jimbo saying there shouldn't be any.  I completely understand that he started this, but he is not owner of it, a foundation was set up, perhaps you've heard of it - the Wikimedia Foundation.  I didn't say you had that same point of view, I'm saying that I was just telling the people who do to fuck off.  I made no attack on any editor, that you perceive it as such is truly sad, but such is life.  Perhaps with time you will learn the intricacies of the language.  If one does not want personal pages on a site, one should avail oneself to modify the source code in order to remove them from the site rather than complain that they're being used.  People who overstep the proper bound of their position should die, that I have encountered multiple administrators so far doing so does lead to the desire to fuck off, but I'm not done here.",0,0,1,0,0,0,toxic
