id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,category
14f05d908b85f9ce,"Very clever, faggot. 115.166.44.81",1,0,1,0,1,0,hate
c3cc05f268592714,"Moron 
In that brothel your mother work? Go find out who is your father

I'm going out of this puppet account, if you want, Block Me Till Armageddon",1,0,0,0,1,0,hate
88201d03bbc46a03,"221.133.205.155 likes to eat shit 

It's true!  He told me himself!",1,0,1,0,1,0,hate
6b089ff9720f2e9a,Haha. Go ahead. Stupid American.,1,0,1,0,1,1,hate
af7a0eb24954b4b9,"Hey you scum!!! 

Haha, you've also a warning you raped son of a bitch!!!",1,0,1,0,1,0,hate
6c7c290876c66572,My page should be protected first so that worthless scum like you can't keep vandalizing it.,1,0,0,0,1,0,hate
8713b6dafded813e,"You can also go out and suck 500 dicks and suck your daddy's dick too
                             

                          amen",1,1,1,0,1,0,hate
8cb2db41307fbc84,This lying piece of Communist garbage should feel neither comfortable nor safe. 1.227.149.33,1,0,1,0,1,0,hate
cbe07eaf3166d605,"Bloody asshole 

You are a bloody asshole and fucking hijra, chootiya and if you block then remember i will hack your account and find you. i will beat you so hard that you will remember.",1,1,1,0,1,1,hate
b35c38cb5508240c,"Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit, Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 
Notrhbysouthbanof sucks cocks 

Anthony Bradbury sucks cock and eats shit,",1,1,1,0,1,0,hate
